region_id,region_name,infrastructure_family,strategic_level,coverage_status,objects_identified,objects_validated,objects_published,priority_gaps,last_reviewed,reviewer
north_america,North America,maritime,L1_global_structural,none,0,0,0,,,
north_america,North America,maritime,L2_macro_regional_structural,none,0,0,0,,,
north_america,North America,maritime,L3_strategic_connector,none,0,0,0,,,
north_america,North America,rail,L1_global_structural,none,0,0,0,,,
north_america,North America,rail,L2_macro_regional_structural,none,0,0,0,,,
north_america,North America,rail,L3_strategic_connector,none,0,0,0,,,
north_america,North America,road,L1_global_structural,none,0,0,0,,,
north_america,North America,road,L2_macro_regional_structural,none,0,0,0,,,
north_america,North America,road,L3_strategic_connector,none,0,0,0,,,
north_america,North America,inland_waterway,L1_global_structural,none,0,0,0,,,
north_america,North America,inland_waterway,L2_macro_regional_structural,none,0,0,0,,,
north_america,North America,inland_waterway,L3_strategic_connector,none,0,0,0,,,
north_america,North America,intermodal_logistics,L1_global_structural,none,0,0,0,,,
north_america,North America,intermodal_logistics,L2_macro_regional_structural,none,0,0,0,,,
north_america,North America,intermodal_logistics,L3_strategic_connector,none,0,0,0,,,
north_america,North America,air_cargo,L1_global_structural,none,0,0,0,,,
north_america,North America,air_cargo,L2_macro_regional_structural,none,0,0,0,,,
north_america,North America,air_cargo,L3_strategic_connector,none,0,0,0,,,
north_america,North America,energy,L1_global_structural,none,0,0,0,,,
north_america,North America,energy,L2_macro_regional_structural,none,0,0,0,,,
north_america,North America,energy,L3_strategic_connector,none,0,0,0,,,
north_america,North America,digital,L1_global_structural,none,0,0,0,,,
north_america,North America,digital,L2_macro_regional_structural,none,0,0,0,,,
north_america,North America,digital,L3_strategic_connector,none,0,0,0,,,
north_america,North America,border_coordination,L1_global_structural,none,0,0,0,,,
north_america,North America,border_coordination,L2_macro_regional_structural,none,0,0,0,,,
north_america,North America,border_coordination,L3_strategic_connector,none,0,0,0,,,
north_america,North America,strategic_storage,L1_global_structural,none,0,0,0,,,
north_america,North America,strategic_storage,L2_macro_regional_structural,none,0,0,0,,,
north_america,North America,strategic_storage,L3_strategic_connector,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,maritime,L1_global_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,maritime,L2_macro_regional_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,maritime,L3_strategic_connector,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,rail,L1_global_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,rail,L2_macro_regional_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,rail,L3_strategic_connector,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,road,L1_global_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,road,L2_macro_regional_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,road,L3_strategic_connector,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,inland_waterway,L1_global_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,inland_waterway,L2_macro_regional_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,inland_waterway,L3_strategic_connector,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,intermodal_logistics,L1_global_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,intermodal_logistics,L2_macro_regional_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,intermodal_logistics,L3_strategic_connector,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,air_cargo,L1_global_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,air_cargo,L2_macro_regional_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,air_cargo,L3_strategic_connector,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,energy,L1_global_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,energy,L2_macro_regional_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,energy,L3_strategic_connector,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,digital,L1_global_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,digital,L2_macro_regional_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,digital,L3_strategic_connector,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,border_coordination,L1_global_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,border_coordination,L2_macro_regional_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,border_coordination,L3_strategic_connector,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,strategic_storage,L1_global_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,strategic_storage,L2_macro_regional_structural,none,0,0,0,,,
central_america_caribbean,Central America and Caribbean,strategic_storage,L3_strategic_connector,none,0,0,0,,,
south_america,South America,maritime,L1_global_structural,none,0,0,0,,,
south_america,South America,maritime,L2_macro_regional_structural,none,0,0,0,,,
south_america,South America,maritime,L3_strategic_connector,none,0,0,0,,,
south_america,South America,rail,L1_global_structural,none,0,0,0,,,
south_america,South America,rail,L2_macro_regional_structural,none,0,0,0,,,
south_america,South America,rail,L3_strategic_connector,none,0,0,0,,,
south_america,South America,road,L1_global_structural,none,0,0,0,,,
south_america,South America,road,L2_macro_regional_structural,none,0,0,0,,,
south_america,South America,road,L3_strategic_connector,none,0,0,0,,,
south_america,South America,inland_waterway,L1_global_structural,none,0,0,0,,,
south_america,South America,inland_waterway,L2_macro_regional_structural,none,0,0,0,,,
south_america,South America,inland_waterway,L3_strategic_connector,none,0,0,0,,,
south_america,South America,intermodal_logistics,L1_global_structural,none,0,0,0,,,
south_america,South America,intermodal_logistics,L2_macro_regional_structural,none,0,0,0,,,
south_america,South America,intermodal_logistics,L3_strategic_connector,none,0,0,0,,,
south_america,South America,air_cargo,L1_global_structural,none,0,0,0,,,
south_america,South America,air_cargo,L2_macro_regional_structural,none,0,0,0,,,
south_america,South America,air_cargo,L3_strategic_connector,none,0,0,0,,,
south_america,South America,energy,L1_global_structural,none,0,0,0,,,
south_america,South America,energy,L2_macro_regional_structural,none,0,0,0,,,
south_america,South America,energy,L3_strategic_connector,none,0,0,0,,,
south_america,South America,digital,L1_global_structural,none,0,0,0,,,
south_america,South America,digital,L2_macro_regional_structural,none,0,0,0,,,
south_america,South America,digital,L3_strategic_connector,none,0,0,0,,,
south_america,South America,border_coordination,L1_global_structural,none,0,0,0,,,
south_america,South America,border_coordination,L2_macro_regional_structural,none,0,0,0,,,
south_america,South America,border_coordination,L3_strategic_connector,none,0,0,0,,,
south_america,South America,strategic_storage,L1_global_structural,none,0,0,0,,,
south_america,South America,strategic_storage,L2_macro_regional_structural,none,0,0,0,,,
south_america,South America,strategic_storage,L3_strategic_connector,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,maritime,L1_global_structural,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,maritime,L2_macro_regional_structural,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,maritime,L3_strategic_connector,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,rail,L1_global_structural,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,rail,L2_macro_regional_structural,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,rail,L3_strategic_connector,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,road,L1_global_structural,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,road,L2_macro_regional_structural,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,road,L3_strategic_connector,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,inland_waterway,L1_global_structural,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,inland_waterway,L2_macro_regional_structural,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,inland_waterway,L3_strategic_connector,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,intermodal_logistics,L1_global_structural,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,intermodal_logistics,L2_macro_regional_structural,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,intermodal_logistics,L3_strategic_connector,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,air_cargo,L1_global_structural,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,air_cargo,L2_macro_regional_structural,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,air_cargo,L3_strategic_connector,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,energy,L1_global_structural,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,energy,L2_macro_regional_structural,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,energy,L3_strategic_connector,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,digital,L1_global_structural,none,0,0,0,,,
northern_europe_atlantic,Northern Europe and Atlantic,digital,L2_macro_regional_structural,none,0,0,0,,,
